Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Down Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Drug Abuse,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Drug Abuse (Barbiturates),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Drug Abuse (Cocaine),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Drug Abuse (Methamphetamine),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Drug Abuse (Opioids),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Drug Poisoning Due To Medication,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Drug Reaction/Allergy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Drug Withdrawal,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dry Eye Of Unknown Cause,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dumping Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dyshidrosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dysthymic Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Ear Drum Damage,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Ear Wax Impaction,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Eating Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Ectopic Pregnancy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Ectropion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Eczema,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Edward Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Ehlers-Danlos Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Emphysema,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Empyema,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Encephalitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Endocarditis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Endometrial Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Endometrial Hyperplasia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Endometriosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Endophthalmitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Envenomation From Spider Or Animal Bite,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Ependymoma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Epididymitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Epidural Hemorrhage,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Epilepsy,Take anti-epileptic medications consistently,Avoid sleep deprivation and alcohol,Wear a medical alert bracelet,Avoid driving or swimming alone
Erectile Dysfunction,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Erythema Multiforme,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Esophageal Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Esophageal Varices,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Esophagitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Essential Tremor,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Eustachian Tube Dysfunction (Ear Disorder),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Extrapyramidal Effect Of Drugs,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Eye Alignment Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Factitious Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fanconi Anemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Female Genitalia Infection,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Female Infertility Of Unknown Cause,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fetal Alcohol Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fibroadenoma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fibrocystic Breast Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fibromyalgia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Flat Feet,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Floaters,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fluid Overload,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Folate Deficiency,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Food Allergy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Foreign Body In The Ear,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Foreign Body In The Eye,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Foreign Body In The Gastrointestinal Tract,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Foreign Body In The Nose,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Foreign Body In The Throat,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Foreign Body In The Vagina,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fracture Of The Ankle,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fracture Of The Arm,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fracture Of The Facial Bones,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fracture Of The Foot,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fracture Of The Hand,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fracture Of The Jaw,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fracture Of The Leg,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fracture Of The Neck,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fracture Of The Patella,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fracture Of The Pelvis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fracture Of The Rib,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fracture Of The Shoulder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fracture Of The Skull,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fracture Of The Vertebra,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Friedrich Ataxia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Frostbite,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fungal Infection,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fungal Infection Of The Hair,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Fungal Infection Of The Skin,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
G6Pd Enzyme Deficiency,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
GERD (Acid Reflux),Avoid eating 2-3 hours before bedtime,Elevate head of bed,"Avoid trigger foods (spicy, fatty, acidic)",Take prescribed proton pump inhibitors
Galactorrhea Of Unknown Cause,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Gallstone Disease,Eat a low-fat diet,Maintain healthy weight,Avoid skipping meals,Take prescribed medications or pursue surgery if indicated
Ganglion Cyst,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Gas Gangrene,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Gastritis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Gastroduodenal Ulcer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Gastroenteritis,Stay hydrated with oral rehydration solutions,Rest and avoid solid food initially,Wash hands thoroughly,Avoid sharing food and utensils
Gastroesophageal Reflux Disease (Gerd),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Gastrointestinal Hemorrhage,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Gastroparesis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Gaucher Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Genital Herpes,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Gestational Diabetes,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Glaucoma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Glucocorticoid Deficiency,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Goiter,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Gonorrhea,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Gout,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Granuloma Inguinale,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Graves Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Guillain Barre Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Gum Disease (Periodontitis),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Gynecomastia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
HIV/AIDS,Take antiretroviral therapy (ART) consistently,Use condoms to prevent transmission,Get regular medical check-ups,Avoid sharing needles
Hammer Toe,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hashimoto Thyroiditis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hay Fever (Allergic Rhinitis),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Head And Neck Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Head Injury,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Headache After Lumbar Puncture,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Heart Attack (Myocardial Infarction),Call emergency services immediately,Take aspirin if prescribed,Rest and avoid physical exertion,Follow cardiac rehabilitation program
Heart Block,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Heart Contusion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Heart Failure,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Heat Exhaustion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Heat Stroke,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hemangioma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hemarthrosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hematoma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hematuria,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hemiplegia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hemochromatosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hemolytic Anemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hemophilia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hemorrhoids,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hepatic Encephalopathy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hepatitis A,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hepatitis B,Get vaccinated,Avoid sharing needles or personal items,Use protection during sex,Take antiviral medications if prescribed
Hepatitis C,Avoid sharing needles or personal items,Seek antiviral treatment,Avoid alcohol,Get regular liver function tests
Hepatitis D,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hepatitis Due To A Toxin,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hepatitis E,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Herniated Disk,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Herpangina,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hiatal Hernia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hidradenitis Suppurativa,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
High Blood Pressure,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hirschsprung Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hirsutism,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Histoplasmosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hormone Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hpv,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Huntington Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hydatidiform Mole,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hydrocele Of The Testicle,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hydrocephalus,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hydronephrosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hypercalcemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hypercholesterolemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hyperemesis Gravidarum,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hypergammaglobulinemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hyperhidrosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hyperkalemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hyperlipidemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hypernatremia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hyperopia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hyperosmotic Hyperketotic State,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hypertension,Reduce salt intake,Exercise regularly,Take blood pressure medications as prescribed,Limit alcohol and avoid smoking
Hypertension Of Pregnancy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hypertensive Heart Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hyperthyroidism,Take prescribed antithyroid medications,Avoid excessive iodine intake,Limit caffeine and stimulants,Follow up regularly with endocrinologist
Hypertrophic Obstructive Cardiomyopathy (Hocm),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hypocalcemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hypoglycemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hypokalemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hyponatremia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hypothermia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Hypothyroidism,Take levothyroxine as prescribed,Get regular thyroid function tests,Maintain healthy diet,Avoid excessive soy and cruciferous vegetables
Hypovolemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Idiopathic Absence Of Menstruation,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Idiopathic Excessive Menstruation,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Idiopathic Infrequent Menstruation,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Idiopathic Irregular Menstrual Cycle,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Idiopathic Nonmenstrual Bleeding,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Idiopathic Painful Menstruation,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Ileus,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Impetigo,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Impulse Control Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Indigestion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Induced Abortion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Infection Of Open Wound,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Inflammatory Bowel Disease (IBD),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Influenza (Flu),Get annual flu vaccine,Rest and drink plenty of fluids,Take antiviral medication if prescribed,Avoid contact with vulnerable individuals
Ingrown Toe Nail,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Inguinal Hernia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Injury Of The Ankle,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Injury To Internal Organ,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Injury To The Abdomen,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Injury To The Arm,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Injury To The Face,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Injury To The Hand,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Injury To The Hip,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Injury To The Knee,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Injury To The Leg,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Injury To The Shoulder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Injury To The Spinal Cord,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Injury To The Trunk,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Insect Bite,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Insulin Overdose,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Interstitial Lung Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Intertrigo (Skin Condition),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
